song name,artist name,genre,duration,date
Marino,Since99,Hip-Hop/Rap,1:58,24-Jul-20
white tee,Lil Peep & Lil Tracy,Emo Rap,2:12,10-Jun-16
Nascar Dashcar,LUCKI,Cloud Rap,1:57,2-Oct-19
2055,Sleepy Hallow,Hip-Hop/Rap,2:04,2-Jun-21
Good Karma (Freestyle),1up Tee,Hip-Hop/Rap,1:50,22-Aug-23
Ghostbusters,Shittyboyz,Hip-Hop/Rap,2:48,28-Feb-20
Died B4,Yeat,Hip-Hop/Rap,3:02,2-Apr-21
These G1rls,Convolk,Alternative/Indie,2:17,5-Jul-18
Backrub,Lil Tracy,Hip-Hop/Rap,2:22,13-Nov-20
Enough,Steven Moses & Nohidea,Emo Rap,2:34,29-Apr-22
